	0
0	ND5
1	Rps3
2	Rps27rt
3	H2-Q10
4	Gm4952
5	P35527
6	Cyp4a12a
7	Gsta2
8	Cyp2c70
9	Aox3
10	Sult1a1
11	Akr1c12
12	P04264
13	P02769
14	Rpl31
15	Q8BGJ5
16	Ugt2b35
17	Pdcd6ip
18	D3Z2H9
19	P62979
20	Ugt2b5
21	Cyp2c29
22	COX2
23	P35908
24	Q9QY76
25	Rps12
26	Rps3a1
27	Gstt3
28	F7DBQ0
29	Q8VCR7
30	Ugt2b1
31	H4c17
32	Keg1
33	E9PZF0
34	Rps10
35	Rpl10
36	P12367
37	Rplp1
38	Hspe1
39	Hbb-bt
40	Cyp2c23
41	Rpl14
42	Gsta4
43	Rpl36a
44	Iigp1
45	Rpl21
46	Fga
47	Rpl18a
48	Gstt1
49	Ces1f
50	Q9D855
51	Rps24
52	Rpl5
53	Rpl18
54	Q91ZV0
55	Mup10
56	Q61838
57	Hspa8
58	Ugt2b34
59	P19536
60	Rps17
61	Akr1c6
62	Sult1d1
63	P0DN34
64	Npm1
65	Akr1c14
66	P00761
67	Ugt2b36
68	Gulo
69	A0A0J9YUI8
70	Uox
71	P13645
72	Ldha
73	H3c1
74	Cyp2j5
75	P04040
76	Rps11
77	Cyp2c50
78	Rpl23a
79	Rpl17
80	A0A0R4J2D3
81	Cyp2c69
82	Q61656
83	Rps2
84	Cyp2a12
85	Abcg2
86	Pabpc1
87	Akr1c19
